creator,niche,category,subcategory,micro_niche,full_path,confidence,matched_keywords
404_chen,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic"
5harath,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,youtube
aaronnkwok,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
adampalomeque,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,make
alexathe_first,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,tip
alexmonahan57,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,tip
alicia._.915,unknown,unknown,,,,0.0,
alicodes7,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic"
amberwolfugc,unknown,unknown,,,,0.0,
ant.matthias,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,"automation,chatgpt"
apptok2,unknown,unknown,,,,0.0,
aqlodite,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,make
arramalek,saas,tech,saas,,tech > saas,1.0,"saas,software as a service"
asyncfaddi,coding,tech,coding,,tech > coding,1.0,"coding,dev"
ayomaariabar7,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
azhar_tech_,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
baldunc_,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
barbiebytes,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
barrywhit3,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
base,unknown,unknown,,,,0.0,
beingsila,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
bella.artois7,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,make
bennettx.ai,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,"n8n,ai tool"
bilalfrfr,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
billionairebrooklynn,saas,tech,saas,,tech > saas,1.0,saas
billyqiu.in.tokyo,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
bipmvp,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,buildinpublic
bitalk_podcast,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
bookishbby7,credit_cards,finance,personal_finance,credit_cards,finance > personal_finance > credit_cards,1.0,rewards
boredjrb,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
braydenhustles,saas,tech,saas,,tech > saas,1.0,saas
